"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","name.oppo","owner.oppo","pic.oppo","home","away","matchup","matchupnum","dtg"
"399.l.605636.t.1","399.l.605636.t.2",1,"preevent",0.52,144.78,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",1,2,8,"2","2020-09-08 22:22:35"
"399.l.605636.t.2","399.l.605636.t.1",1,"preevent",0.48,142.39,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",2,1,8,"2","2020-09-08 22:22:35"
"399.l.605636.t.6","399.l.605636.t.8",1,"preevent",0.53,155.94,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",6,8,114,"3","2020-09-08 22:22:35"
"399.l.605636.t.8","399.l.605636.t.6",1,"preevent",0.47,151.44,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",8,6,114,"3","2020-09-08 22:22:35"
"399.l.605636.t.5","399.l.605636.t.9",1,"preevent",0.47,151.64,"0.00","Chillest discipline","Samuel","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/7be06ebd635ea93d317d38308216606010319e8a9157790f2b4a4a3c01320bf2.png","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",5,9,120,"4","2020-09-08 22:22:35"
"399.l.605636.t.9","399.l.605636.t.5",1,"preevent",0.53,155.5,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","Chillest discipline","Samuel","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/7be06ebd635ea93d317d38308216606010319e8a9157790f2b4a4a3c01320bf2.png",9,5,120,"4","2020-09-08 22:22:35"
"399.l.605636.t.4","399.l.605636.t.10",1,"preevent",0.39,137.84,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",4,10,130,"5","2020-09-08 22:22:35"
"399.l.605636.t.10","399.l.605636.t.4",1,"preevent",0.61,154.2,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",10,4,130,"5","2020-09-08 22:22:35"
"399.l.605636.t.3","399.l.605636.t.11",1,"preevent",0.56,153.69,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",3,11,144,"6","2020-09-08 22:22:35"
"399.l.605636.t.11","399.l.605636.t.3",1,"preevent",0.44,145.18,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",11,3,144,"6","2020-09-08 22:22:35"
"399.l.605636.t.7","399.l.605636.t.12",1,"preevent",0.44,158.91,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",7,12,212,"1","2020-09-08 22:22:35"
"399.l.605636.t.12","399.l.605636.t.7",1,"preevent",0.56,168.92,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",12,7,212,"1","2020-09-08 22:22:35"
"399.l.605636.t.1","399.l.605636.t.3",2,"preevent",0.4,138.62,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",1,3,14,"2","2020-09-08 22:22:35"
"399.l.605636.t.3","399.l.605636.t.1",2,"preevent",0.6,152.43,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",3,1,14,"2","2020-09-08 22:22:35"
"399.l.605636.t.7","399.l.605636.t.8",2,"preevent",0.59,151.17,"0.00","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg",7,8,128,"3","2020-09-08 22:22:35"
"399.l.605636.t.8","399.l.605636.t.7",2,"preevent",0.41,138.42,"0.00","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg",8,7,128,"3","2020-09-08 22:22:35"
"399.l.605636.t.6","399.l.605636.t.9",2,"preevent",0.54,158.67,"0.00","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg",6,9,132,"4","2020-09-08 22:22:35"
"399.l.605636.t.9","399.l.605636.t.6",2,"preevent",0.46,153.01,"0.00","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg",9,6,132,"4","2020-09-08 22:22:35"
"399.l.605636.t.5","399.l.605636.t.10",2,"preevent",0.53,144.58,"0.00","Chillest discipline","Samuel","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/7be06ebd635ea93d317d38308216606010319e8a9157790f2b4a4a3c01320bf2.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg",5,10,140,"5","2020-09-08 22:22:35"
"399.l.605636.t.10","399.l.605636.t.5",2,"preevent",0.47,140.06,"0.00","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg","Chillest discipline","Samuel","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/7be06ebd635ea93d317d38308216606010319e8a9157790f2b4a4a3c01320bf2.png",10,5,140,"5","2020-09-08 22:22:35"
"399.l.605636.t.4","399.l.605636.t.11",2,"preevent",0.48,144.68,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg",4,11,152,"6","2020-09-08 22:22:35"
"399.l.605636.t.11","399.l.605636.t.4",2,"preevent",0.52,148.15,"0.00","Suck it boners","Jeremy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24932942439_d3d88ba3c8.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",11,4,152,"6","2020-09-08 22:22:35"
"399.l.605636.t.2","399.l.605636.t.12",2,"preevent",0.39,143.12,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg",2,12,162,"1","2020-09-08 22:22:35"
"399.l.605636.t.12","399.l.605636.t.2",2,"preevent",0.61,160.29,"0.00","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",12,2,162,"1","2020-09-08 22:22:35"
"399.l.605636.t.2","399.l.605636.t.3",3,"preevent",0.53,147.67,"0.00","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg",2,3,18,"2","2020-09-08 22:22:35"
"399.l.605636.t.3","399.l.605636.t.2",3,"preevent",0.47,143.15,"0.00","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg",3,2,18,"2","2020-09-08 22:22:35"
"399.l.605636.t.1","399.l.605636.t.4",3,"preevent",0.55,145.39,"0.00","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png",1,4,22,"3","2020-09-08 22:22:35"
"399.l.605636.t.4","399.l.605636.t.1",3,"preevent",0.45,137.95,"0.00","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",4,1,22,"3","2020-09-08 22:22:35"
